"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 18 11:07:37 IST 2022","Fri Nov 18 11:07:42 IST 2022","5435","","All the services should be displayed on the Online Banking Page","","","","User when clicks on ""Transfer Funds"" should be redirected to ""Zero - Transfer Funds"" (example #3)",""
"passed","Fri Nov 18 11:04:15 IST 2022","Fri Nov 18 11:04:17 IST 2022","2609","","Login Feature","","","","user is unable to login with incorrect credentials",""
"passed","Fri Nov 18 11:04:25 IST 2022","Fri Nov 18 11:04:27 IST 2022","2266","","Login Feature","","","","User wants to reset the password with valid email",""
"passed","Fri Nov 18 11:07:58 IST 2022","Fri Nov 18 11:08:03 IST 2022","5468","","All the services should be displayed on the Online Banking Page","","","","User when clicks on ""Online Statements"" should be redirected to ""Zero - Online Statements"" (example #6)",""
"passed","Fri Nov 18 11:08:03 IST 2022","Fri Nov 18 11:08:08 IST 2022","4541","","All the services should be displayed on the Online Banking Page","","","","User should be able to see all the service offering from ZeroBank on Online Banking Page",""
"passed","Fri Nov 18 11:04:19 IST 2022","Fri Nov 18 11:04:25 IST 2022","6158","","Login Feature","","","","User should remain signed in if user has checked for Keep me signed in",""
"passed","Fri Nov 18 11:05:20 IST 2022","Fri Nov 18 11:06:07 IST 2022","47601","","Login Feature","","","","User clicks on the ""Terms of Use"", they should be redirected to correct page (example #2)",""
"passed","Fri Nov 18 11:04:07 IST 2022","Fri Nov 18 11:04:14 IST 2022","7008","","Login Feature","","","","Registered user is able to successfully login with correct credentials",""
"passed","Fri Nov 18 11:06:07 IST 2022","Fri Nov 18 11:06:19 IST 2022","11429","","Login Feature","","","","User clicks on the ""Contact Micro Focus"", they should be redirected to correct page (example #3)",""
"passed","Fri Nov 18 11:07:42 IST 2022","Fri Nov 18 11:07:48 IST 2022","5991","","All the services should be displayed on the Online Banking Page","","","","User when clicks on ""Pay Bills"" should be redirected to ""Zero - Pay Bills"" (example #4)",""
"passed","Fri Nov 18 11:04:17 IST 2022","Fri Nov 18 11:04:19 IST 2022","1658","","Login Feature","","","","Username and password should get cleared after unsuccessul login attempt",""
"passed","Fri Nov 18 11:04:03 IST 2022","Fri Nov 18 11:04:03 IST 2022","9","","Accounts Summery of the user","","","","User should see all the account types that user has on the Accounts Summery Page",""
"passed","Fri Nov 18 11:07:22 IST 2022","Fri Nov 18 11:07:28 IST 2022","6280","","All the services should be displayed on the Online Banking Page","","","","User when clicks on ""Account Summary"" should be redirected to ""Zero - Account Summary"" (example #1)",""
"passed","Fri Nov 18 11:07:48 IST 2022","Fri Nov 18 11:07:57 IST 2022","9004","","All the services should be displayed on the Online Banking Page","","","","User when clicks on ""My Money Map"" should be redirected to ""Zero - My Money Map"" (example #5)",""
"passed","Fri Nov 18 11:04:27 IST 2022","Fri Nov 18 11:05:20 IST 2022","52291","","Login Feature","","","","User clicks on the ""Download WebInspect"", they should be redirected to correct page (example #1)",""
"skipped","Fri Nov 18 11:04:27 IST 2022","Fri Nov 18 11:04:27 IST 2022","3","","Login Feature","","","","User wants to reset the password with invalid email",""
"passed","Fri Nov 18 11:06:19 IST 2022","Fri Nov 18 11:07:07 IST 2022","48409","","Login Feature","","","","User clicks on the ""Privacy Statement"", they should be redirected to correct page (example #4)",""
"passed","Fri Nov 18 11:07:28 IST 2022","Fri Nov 18 11:07:37 IST 2022","8456","","All the services should be displayed on the Online Banking Page","","","","User when clicks on ""Account Activity"" should be redirected to ""Zero - Account Activity"" (example #2)",""
